Empresa,Año,Mes,Día,Apertura,Máximo,Mínimo,Cierre,Cierre Ajustado,Volumen,Rendimiento Diario,Volatilidad,Tendencia,Sobrecompra/Sobrevendido,Recomendación
JNJ,2021,2,19,165.60000610351562,165.9600067138672,162.91000366210938,162.97999572753906,146.8972625732422,8190900.0,-0.01582131811238466,0.008390728213302048,0.000624626429689413,0.0877995006361898,Comprar
AMZN,2021,11,30,178.1750030517578,179.2884979248047,174.60049438476562,175.35350036621094,175.35350036621094,80022000.0,-0.015835569733242887,0.017941150036773386,0.0007105200114942932,0.04652387804211005,Comprar
AMZN,2023,4,18,103.94999694824219,104.19999694824219,101.5199966430664,102.30000305175781,102.30000305175781,39790500.0,-0.015872957623134173,0.016582987126043103,0.0009493584980575638,-0.04491242728754869,Comprar
AMZN,2024,3,5,176.92999267578125,176.92999267578125,173.3000030517578,174.1199951171875,174.1199951171875,37228300.0,-0.015881974085326413,0.009502220190780028,0.001954331345667395,0.2365892875906211,Comprar
NVDA,2023,1,19,17.035999298095703,17.19700050354004,16.731000900268555,16.764999389648438,16.755401611328125,452932000.0,-0.015907485302465246,0.028705938733845193,0.004354012526021025,0.025340523293008947,Comprar
JPM,2023,12,6,158.83999633789062,159.22000122070312,156.0,156.30999755859375,153.60000610351562,9366000.0,-0.015927970521448283,0.00692063438328659,0.0008915795276797584,0.09204214002506564,Comprar
AMZN,2020,3,27,96.54299926757812,96.989501953125,94.99600219726562,95.00499725341797,95.00499725341797,107758000.0,-0.01593074615278356,0.024708420645951606,0.001719740586680421,-0.33702821345464873,Comprar
TSLA,2020,3,30,34.017333984375,34.44333267211914,32.7486686706543,33.47533416748047,33.47533416748047,179971500.0,-0.01593304804966448,0.04930762466616878,0.0008613543642377239,-0.7581570753096016,Comprar
JPM,2023,4,4,130.5,130.58999633789062,127.41000366210938,128.4199981689453,123.44596099853516,11579900.0,-0.015938711349078066,0.017548270649774045,0.00011540962198320071,0.02261545596077136,Comprar
AMZN,2022,8,19,140.47000122070312,141.11000061035156,137.91000366210938,138.22999572753906,138.22999572753906,47792800.0,-0.01594650440448576,0.013354071825400205,0.002762804200867015,-0.04362349328097614,Comprar
NVDA,2020,9,14,13.081000328063965,13.3149995803833,12.631250381469727,12.872249603271484,12.837852478027344,1201744000.0,-0.015958315079667638,0.028249514773784706,0.001221636506021254,-0.6598378469888342,Comprar
